20,249620,15
20,235290,14
20,230790,13
20,234040,15
20,239690,14
20,243380,14
20,249930,11
20,234420,12
20,219190,15
20,249990,13
20,249730,15
20,240590,14
20,249970,13
20,240640,14

30,244980,16
30,247820,14
30,249980,9
30,246820,13
30,242090,15
30,222620,15
30,238990,14
30,166680,13
30,181390,13
30,241380,16
40,231370,16
40,249490,14
40,230730,15
40,235120,16
40,228730,15
40,244130,15
40,247380,14
40,248340,14
40,247080,13
40,249990,11
50,240980,16
50,248580,13
50,249940,9
50,249570,15
50,247070,13
50,249940,10
50,233880,15
50,245270,16
50,248970,15
50,230970,15
60,215680,14
60,244570,15
60,234980,14
60,233370,17
60,249930,14
60,249930,12
60,230870,16
60,240780,15
60,247330,15
60,243090,13
70,193730,13
70,249970,14
70,249970,13
70,249080,15
70,249970,15
70,243770,17
70,249940,12
70,237320,14
70,237030,15
70,244730,15
80,248930,15
80,248280,16
80,241720,16
